City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
61,Mar Del Plata,AR,2020-11-09 04:09:12,-38.0,-57.56,61.0,93,75,6.93,broken clouds
62,Calais,FR,2020-11-09 04:10:54,50.92,1.83,53.01,95,97,1.01,overcast clouds
63,Beringovskiy,RU,2020-11-09 04:10:54,63.05,179.32,20.05,93,27,9.22,scattered clouds
64,Garowe,SO,2020-11-09 04:10:54,8.41,48.48,75.09,74,13,11.92,few clouds
65,Guerrero Negro,MX,2020-11-09 04:10:54,27.98,-114.06,63.68,61,77,11.74,broken clouds
66,Fukue,JP,2020-11-09 04:10:55,32.69,128.84,59.0,44,20,19.46,few clouds
67,Provideniya,RU,2020-11-09 04:10:55,64.38,-173.3,32.0,98,90,11.18,light snow
68,Ogaminana,NG,2020-11-09 04:10:55,7.59,6.22,73.0,88,0,2.21,clear sky
69,Kapaa,US,2020-11-09 04:10:55,22.08,-159.32,80.6,69,75,13.87,broken clouds
70,Ossora,RU,2020-11-09 04:10:55,59.24,163.07,23.83,86,35,9.53,scattered clouds
71,Thaba-Tseka,LS,2020-11-09 04:10:55,-29.52,28.61,57.88,77,100,6.26,overcast clouds
72,Urut,AM,2020-11-09 04:10:55,41.07,44.4,24.8,92,1,3.36,clear sky
73,Esperance,AU,2020-11-09 04:10:56,-33.87,121.9,91.4,27,40,18.34,scattered clouds
74,Kahului,US,2020-11-09 04:10:56,20.89,-156.47,82.4,58,1,19.46,clear sky
75,Khatanga,RU,2020-11-09 04:10:56,71.97,102.5,11.08,92,100,17.02,overcast clouds
76,Hambantota,LK,2020-11-09 04:10:56,6.12,81.12,82.4,88,20,3.36,few clouds
77,Kaeo,NZ,2020-11-09 04:10:56,-35.1,173.78,61.0,84,100,8.99,light rain
78,Ostrovnoy,RU,2020-11-09 04:10:56,68.05,39.51,32.2,94,100,22.77,overcast clouds
79,Neryungri,RU,2020-11-09 04:10:56,56.67,124.65,2.32,87,41,0.74,scattered clouds
80,Barrow,US,2020-11-09 04:09:33,71.29,-156.79,15.8,78,90,25.28,overcast clouds
81,Hithadhoo,MV,2020-11-09 04:10:57,-0.6,73.08,84.22,71,40,9.73,heavy intensity rain
82,Biltine,TD,2020-11-09 04:10:57,14.53,20.92,72.63,28,11,11.52,few clouds
83,Ponta Do Sol,PT,2020-11-09 04:10:57,32.67,-17.1,64.4,63,20,6.93,few clouds
84,Nyagan,RU,2020-11-09 04:10:57,62.14,65.39,28.71,98,100,4.65,overcast clouds
85,Basco,PH,2020-11-09 04:10:57,20.45,121.97,78.82,83,68,33.02,light rain
86,The Valley,AI,2020-11-09 04:08:44,18.22,-63.06,81.0,78,20,9.17,few clouds
87,Castro,BR,2020-11-09 04:10:57,-24.79,-50.01,62.71,77,63,6.78,broken clouds
88,Rajapur,IN,2020-11-09 04:10:57,25.38,81.15,74.3,24,0,6.11,clear sky
89,Conchas,BR,2020-11-09 04:10:58,-23.02,-48.01,65.71,72,0,5.32,clear sky
90,Monroe,US,2020-11-09 04:10:58,43.15,-77.68,53.01,87,20,4.7,few clouds
91,Solnechnyy,RU,2020-11-09 04:10:58,50.72,136.63,16.41,78,28,6.24,scattered clouds
92,Clyde River,CA,2020-11-09 04:10:58,70.47,-68.59,-2.2,77,1,17.22,clear sky
93,Hermanus,ZA,2020-11-09 04:10:58,-34.42,19.23,45.0,92,53,8.23,broken clouds
94,Pingliang,CN,2020-11-09 04:10:58,35.54,106.69,52.0,40,0,5.99,clear sky
95,Taoudenni,ML,2020-11-09 04:10:58,22.68,-3.98,76.14,18,61,7.31,broken clouds
96,Zaysan,KZ,2020-11-09 04:10:59,47.47,84.87,51.75,39,100,22.41,overcast clouds
97,Vaini,TO,2020-11-09 04:10:59,-21.2,-175.2,80.6,74,20,10.29,few clouds
98,Esso,RU,2020-11-09 04:06:31,55.93,158.7,12.96,84,59,1.79,broken clouds
99,Vestmanna,FO,2020-11-09 04:10:59,62.16,-7.17,48.2,100,100,13.87,fog
100,Borogontsy,RU,2020-11-09 04:10:59,62.67,131.17,-11.45,85,30,1.86,scattered clouds
101,Peleduy,RU,2020-11-09 04:10:59,59.63,112.74,27.03,96,100,7.63,overcast clouds
102,Bathsheba,BB,2020-11-09 04:10:59,13.22,-59.52,80.6,83,75,12.75,shower rain
103,Amudat,UG,2020-11-09 04:10:59,1.95,34.95,69.96,74,44,3.78,scattered clouds
104,East London,ZA,2020-11-09 04:11:00,-33.02,27.91,59.0,93,75,10.29,light intensity drizzle
105,Orichi,RU,2020-11-09 04:11:00,58.4,49.06,32.36,93,100,12.73,light snow
106,Norman Wells,CA,2020-11-09 04:11:00,65.28,-126.83,15.8,92,75,4.7,broken clouds
107,Sao Sebastiao,BR,2020-11-09 04:11:00,-23.76,-45.41,70.47,87,66,6.82,broken clouds
108,Albany,US,2020-11-09 04:07:46,42.6,-73.97,48.99,93,1,2.06,clear sky
109,Bethel,US,2020-11-09 04:11:00,41.37,-73.41,50.0,87,1,2.37,clear sky
110,Leningradskiy,RU,2020-11-09 04:11:00,69.38,178.42,19.83,94,100,6.58,overcast clouds
111,Tiksi,RU,2020-11-09 04:11:01,71.69,128.87,-8.81,87,4,4.45,clear sky
112,Chimbote,PE,2020-11-09 04:11:01,-9.09,-78.58,59.61,90,65,5.7,broken clouds
113,Hami,CN,2020-11-09 04:11:01,42.8,93.45,51.19,35,0,4.9,clear sky
114,Vostok,RU,2020-11-09 04:11:01,46.49,135.88,18.84,90,88,9.91,overcast clouds
115,Puerto Ayora,EC,2020-11-09 04:11:01,-0.74,-90.35,68.0,88,15,4.0,few clouds
116,Miri,MY,2020-11-09 04:07:57,4.41,114.01,84.2,79,40,6.93,moderate rain
117,Ancud,CL,2020-11-09 04:11:02,-41.87,-73.82,54.0,76,0,6.93,clear sky
118,Awbari,LY,2020-11-09 04:11:02,26.59,12.78,52.86,81,0,3.6,clear sky
119,Kruisfontein,ZA,2020-11-09 04:11:02,-34.0,24.73,55.99,95,100,1.99,light rain
120,Matara,LK,2020-11-09 04:11:02,5.95,80.54,85.95,67,3,3.04,light rain
121,Onega,RU,2020-11-09 04:11:02,63.91,38.14,34.47,85,100,14.72,overcast clouds
122,Puksoozero,RU,2020-11-09 04:11:03,62.59,40.61,29.8,95,99,10.83,overcast clouds
123,Avarua,CK,2020-11-09 04:11:03,-21.21,-159.78,77.0,73,86,5.82,overcast clouds
124,Coihaique,CL,2020-11-09 04:11:03,-45.58,-72.07,50.0,76,0,2.24,clear sky
125,Touros,BR,2020-11-09 04:11:03,-5.2,-35.46,75.2,94,75,3.36,shower rain
126,Ribeira Grande,PT,2020-11-09 04:11:03,38.52,-28.7,61.65,63,65,13.98,broken clouds
127,Gari,RU,2020-11-09 04:11:03,59.43,62.35,29.3,98,99,8.99,overcast clouds
128,Vestmannaeyjar,IS,2020-11-09 04:06:53,63.44,-20.27,44.87,80,100,30.24,overcast clouds
129,Kaitangata,NZ,2020-11-09 04:11:04,-46.28,169.85,53.01,71,97,8.99,overcast clouds
130,Rudolstadt,DE,2020-11-09 04:11:04,50.72,11.33,42.01,93,0,4.7,clear sky
131,Pacific Grove,US,2020-11-09 04:11:04,36.62,-121.92,48.99,66,75,5.82,broken clouds
132,Maloy,NO,2020-11-09 04:11:04,61.94,5.11,46.4,87,100,1.12,light rain
133,Moose Factory,CA,2020-11-09 04:11:04,51.26,-80.61,35.6,93,90,3.36,overcast clouds
134,Delhi,IN,2020-11-09 04:08:23,28.67,77.22,73.0,67,0,2.17,smoke
135,Saint-Augustin,CA,2020-11-09 04:11:05,51.23,-58.65,28.54,77,99,7.34,overcast clouds
136,Kargil,IN,2020-11-09 04:11:05,34.57,76.1,37.62,50,50,0.65,scattered clouds
137,Flinders,AU,2020-11-09 04:11:05,-34.58,150.86,68.0,62,22,10.76,few clouds
138,Tasiilaq,GL,2020-11-09 04:11:05,65.61,-37.64,33.13,95,100,31.14,overcast clouds
139,Port Hawkesbury,CA,2020-11-09 04:11:05,45.62,-61.35,37.99,80,90,4.97,overcast clouds
140,Cidreira,BR,2020-11-09 04:11:05,-30.18,-50.21,68.02,85,96,14.7,moderate rain
141,Mehamn,NO,2020-11-09 04:11:06,71.04,27.85,34.95,84,97,13.56,overcast clouds
142,Makakilo City,US,2020-11-09 04:11:06,21.35,-158.09,82.4,54,1,8.05,clear sky
143,Severo-Kurilsk,RU,2020-11-09 04:11:06,50.68,156.12,35.28,87,100,18.9,overcast clouds
144,Longyearbyen,SJ,2020-11-09 04:11:06,78.22,15.64,28.4,68,75,6.93,broken clouds
145,Meulaboh,ID,2020-11-09 04:07:07,4.14,96.13,85.33,66,69,1.43,moderate rain
146,Great Yarmouth,GB,2020-11-09 04:11:06,52.61,1.73,55.99,99,98,1.99,overcast clouds
147,Goryachiy Klyuch,RU,2020-11-09 04:11:07,44.63,39.13,44.6,100,75,4.47,broken clouds
148,Vanavara,RU,2020-11-09 04:11:07,60.34,102.28,34.7,89,100,7.87,overcast clouds
