City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
60,Bambous Virieux,MU,2020-11-08 23:54:16,-20.34,57.76,73.4,88,40,5.82
61,Cayenne,GF,2020-11-08 23:50:02,4.93,-52.33,80.6,88,20,6.93
62,Walvis Bay,NA,2020-11-08 23:54:06,-22.96,14.51,59.0,87,51,1.12
63,Hilo,US,2020-11-08 23:53:21,19.73,-155.09,86.0,55,90,6.93
64,Khatanga,RU,2020-11-08 23:54:02,71.97,102.5,9.41,91,100,17.87
65,Zabid,YE,2020-11-08 23:55:03,14.2,43.32,77.67,73,2,3.83
66,Port Alfred,ZA,2020-11-08 23:53:51,-33.59,26.89,63.63,81,96,13.22
67,Bacolod,PH,2020-11-08 23:51:19,10.67,122.95,80.64,80,22,1.12
68,Strezhevoy,RU,2020-11-08 23:55:03,60.73,77.59,32.0,97,90,8.95
69,Caceres,ES,2020-11-08 23:55:03,39.52,-6.37,57.0,97,77,5.82
70,Verkhnyaya Inta,RU,2020-11-08 23:55:03,65.98,60.31,27.16,99,100,6.67
71,Morant Bay,JM,2020-11-08 23:55:03,17.88,-76.41,80.6,94,75,13.87
72,Lincoln,US,2020-11-08 23:52:37,40.8,-96.67,71.6,49,20,24.16
73,Sao Filipe,CV,2020-11-08 23:54:29,14.9,-24.5,79.79,74,7,9.95
74,Ponta Do Sol,PT,2020-11-08 23:54:02,32.67,-17.1,62.6,59,20,3.36
75,Manavalakurichi,IN,2020-11-08 23:55:04,8.13,77.3,80.6,94,20,1.12
76,Gandorhun,SL,2020-11-08 23:55:04,7.5,-11.83,74.17,96,79,1.39
77,Boueni,YT,2020-11-08 23:55:04,-12.9,45.08,80.6,78,75,4.7
78,Caninde,BR,2020-11-08 23:55:04,-4.36,-39.31,80.35,70,18,4.5
79,Vila Velha,BR,2020-11-08 23:53:27,-20.33,-40.29,77.0,88,20,8.05
80,Araouane,ML,2020-11-08 23:54:33,18.9,-3.53,80.67,17,14,8.46
81,Arraial Do Cabo,BR,2020-11-08 23:53:53,-22.97,-42.03,73.4,94,75,8.05
82,Airai,TL,2020-11-08 23:54:05,-8.93,125.41,75.67,40,37,4.9
83,Provideniya,RU,2020-11-08 23:54:02,64.38,-173.3,32.0,97,90,11.18
84,Portland,US,2020-11-08 23:51:40,45.52,-122.68,48.0,65,40,6.93
85,Bom Despacho,BR,2020-11-08 23:53:29,-19.74,-45.25,77.09,56,44,4.18
86,Tuktoyaktuk,CA,2020-11-08 23:54:17,69.45,-133.04,10.4,92,40,5.82
87,Saskylakh,RU,2020-11-08 23:54:06,71.92,114.08,-7.91,86,13,14.38
88,Svay Rieng,KH,2020-11-08 23:55:05,11.09,105.8,75.06,76,84,14.14
89,Wattegama,LK,2020-11-08 23:55:05,6.8,81.48,74.66,87,38,3.02
90,Chokurdakh,RU,2020-11-08 23:54:00,70.63,147.92,-11.76,91,100,2.89
91,Marawi,PH,2020-11-08 23:54:20,8.0,124.29,77.0,84,88,5.01
92,Pasni,PK,2020-11-08 23:55:05,25.26,63.47,73.72,51,0,5.84
93,Hervey Bay,AU,2020-11-08 23:55:06,-25.3,152.85,72.0,58,25,8.99
94,Saint-Germain-De-Grantham,CA,2020-11-08 23:55:06,45.83,-72.57,51.01,85,3,6.35
95,Yellowknife,CA,2020-11-08 23:53:51,62.46,-114.35,27.0,79,75,10.29
96,Yar-Sale,RU,2020-11-08 23:54:03,66.83,70.83,19.9,98,87,6.85
97,Vostok,RU,2020-11-08 23:54:45,46.49,135.88,17.56,96,99,6.06
98,Bardiyah,LY,2020-11-08 23:55:06,31.76,25.09,66.15,79,19,13.04
99,Nedumangad,IN,2020-11-08 23:55:06,8.6,77.0,80.6,94,20,1.12
100,Souillac,MU,2020-11-08 23:54:35,-20.52,57.52,73.4,88,40,5.82
101,Saint-Philippe,RE,2020-11-08 23:53:56,-21.36,55.77,73.4,73,0,1.12
102,Barra Do Garcas,BR,2020-11-08 23:50:56,-15.89,-52.26,80.76,58,89,2.51
103,Saint George,US,2020-11-08 23:53:54,37.1,-113.58,39.99,86,97,8.05
104,Panalingaan,PH,2020-11-08 23:55:07,8.78,117.42,81.82,74,6,4.99
105,Santa Rosa,PH,2020-11-08 23:55:07,14.31,121.11,80.6,88,90,1.12
106,Krasnoselkup,RU,2020-11-08 23:55:07,65.7,82.47,31.98,99,100,2.24
107,Porosozero,RU,2020-11-08 23:55:07,62.72,32.73,31.71,90,0,7.87
108,Mwinilunga,ZM,2020-11-08 23:55:07,-11.74,24.43,64.71,71,3,3.96
109,Tevaitoa,PF,2020-11-08 23:55:07,-16.78,-151.5,79.65,76,52,16.51
110,Matai,TZ,2020-11-08 23:55:07,-8.3,31.52,66.7,60,38,12.26
111,Neyagawa,JP,2020-11-08 23:51:29,34.77,135.63,55.4,76,40,3.36
112,Thompson,CA,2020-11-08 23:54:08,55.74,-97.86,12.2,85,90,11.41
113,Zyryanka,RU,2020-11-08 23:55:08,65.75,150.85,-3.53,92,97,6.76
114,Palmer,US,2020-11-08 23:54:34,42.16,-72.33,57.99,71,1,0.83
115,Pangai,TO,2020-11-08 23:55:08,-19.8,-174.35,80.6,74,20,8.05
116,Beyneu,KZ,2020-11-08 23:54:20,45.32,55.2,39.69,76,5,15.99
117,Borodino,RU,2020-11-08 23:55:08,55.91,94.9,35.85,83,69,6.15
118,Kaitangata,NZ,2020-11-08 23:54:12,-46.28,169.85,55.0,76,96,8.01
119,Yumen,CN,2020-11-08 23:55:08,40.28,97.2,33.33,63,0,7.25
120,Ghanzi,BW,2020-11-08 23:55:08,-21.57,21.78,79.02,46,93,3.91
121,Dingle,PH,2020-11-08 23:54:06,11.0,122.67,80.24,82,24,2.15
122,Graciano Sanchez,MX,2020-11-08 23:55:09,23.92,-99.28,86.0,35,5,8.05
123,Tasiilaq,GL,2020-11-08 23:53:54,65.61,-37.64,31.21,98,100,32.75
124,Severo-Kurilsk,RU,2020-11-08 23:54:14,50.68,156.12,37.22,77,100,14.54
125,Zhanakorgan,KZ,2020-11-08 23:55:09,43.91,67.25,37.18,91,42,8.37
126,Esperance,AU,2020-11-08 23:53:01,-33.87,121.9,71.6,56,0,17.22
127,Perdika,GR,2020-11-08 23:55:09,39.37,20.3,53.6,93,0,4.88
128,Mao,ES,2020-11-08 23:55:09,39.89,4.27,59.0,93,82,4.7
129,Sorland,NO,2020-11-08 23:55:10,67.67,12.69,44.83,68,99,31.21
130,Islamkot,PK,2020-11-08 23:55:10,24.7,70.18,75.06,31,0,7.61
131,Gazanjyk,TM,2020-11-08 23:55:10,39.24,55.52,48.06,66,0,2.71
132,Broome,US,2020-11-08 23:54:13,42.25,-75.83,64.4,31,1,1.19
133,Leh,IN,2020-11-08 23:55:10,34.17,77.58,27.99,60,2,1.81
134,Deolali,IN,2020-11-08 23:55:10,19.95,73.83,61.59,50,0,4.29
135,Xinyu,CN,2020-11-08 23:55:10,27.8,114.93,56.25,51,0,3.29
136,Pevek,RU,2020-11-08 23:54:02,69.7,170.31,17.24,94,99,3.38
137,Victor Harbor,AU,2020-11-08 23:55:10,-35.57,138.62,71.01,62,82,10.74
138,Dikson,RU,2020-11-08 23:54:20,73.51,80.55,1.98,94,96,12.21
139,Hobart,AU,2020-11-08 23:50:54,-42.88,147.33,69.01,48,5,6.93
140,Clyde River,CA,2020-11-08 23:50:33,70.47,-68.59,-0.4,70,1,20.8
141,Atuona,PF,2020-11-08 23:53:58,-9.8,-139.03,77.68,67,55,12.64
142,Guerrero Negro,MX,2020-11-08 23:54:36,27.98,-114.06,66.11,54,12,14.76
143,Castro,BR,2020-11-08 23:51:59,-24.79,-50.01,68.72,58,59,6.62
144,Gat,IL,2020-11-08 23:55:11,31.61,34.76,66.0,82,0,2.24
145,Mar Del Plata,AR,2020-11-08 23:53:54,-38.0,-57.56,62.01,100,90,10.29
146,Iqaluit,CA,2020-11-08 23:54:06,63.75,-68.51,19.4,85,90,16.11
147,Benicarlo,ES,2020-11-08 23:55:11,40.42,0.43,48.0,95,78,1.01
148,Kikwit,CD,2020-11-08 23:55:11,-5.04,18.82,71.46,97,100,1.86
149,Jvari,GE,2020-11-08 23:55:11,42.72,42.05,50.56,46,0,5.12
150,Touros,BR,2020-11-08 23:53:25,-5.2,-35.46,77.0,88,40,4.7
151,Kapaa,US,2020-11-08 23:53:45,22.08,-159.32,80.6,74,75,11.41
152,Atasu,KZ,2020-11-08 23:53:51,48.68,71.64,32.25,92,72,20.8
153,Panama City,PA,2020-11-08 23:53:01,8.99,-79.52,82.4,65,20,4.7
154,Zeya,RU,2020-11-08 23:55:12,53.75,127.27,3.81,79,0,4.03
155,Tayga,RU,2020-11-08 23:55:12,56.06,85.62,44.6,80,40,13.42
156,Twentynine Palms,US,2020-11-08 23:55:12,34.14,-116.05,55.4,30,20,34.45
157,Avarua,CK,2020-11-08 23:53:54,-21.21,-159.78,78.8,74,85,4.7
158,Tongliao,CN,2020-11-08 23:55:12,43.61,122.27,25.23,73,0,4.81
159,Lisala,CD,2020-11-08 23:55:13,2.15,21.52,70.45,98,96,1.59
160,Katangli,RU,2020-11-08 23:55:13,51.71,143.23,24.3,89,100,18.37
161,Yulara,AU,2020-11-08 23:54:27,-25.24,130.99,82.4,15,6,11.41
162,Hithadhoo,MV,2020-11-08 23:53:52,-0.6,73.08,83.84,72,91,8.01
163,Sao Jose Da Coroa Grande,BR,2020-11-08 23:54:40,-8.9,-35.15,77.34,85,49,9.8
164,Itaituba,BR,2020-11-08 23:55:13,-4.28,-55.98,77.94,88,98,3.11
165,Nuevo Progreso,MX,2020-11-08 23:55:13,23.17,-97.95,78.01,61,49,1.99
166,Kuusamo,FI,2020-11-08 23:55:13,65.97,29.18,24.8,85,0,4.7
167,Obzor,BG,2020-11-08 23:55:14,42.82,27.88,55.4,82,90,8.05
168,General Roca,AR,2020-11-08 23:55:14,-39.03,-67.58,73.4,64,0,6.93
169,Fairbanks,US,2020-11-08 23:54:34,64.84,-147.72,35.6,80,90,8.05
170,Borovoy,RU,2020-11-08 23:55:14,55.43,86.08,42.8,75,40,26.84
171,Norman Wells,CA,2020-11-08 23:54:07,65.28,-126.83,19.4,85,75,9.17
172,Udalguri,IN,2020-11-08 23:55:14,26.77,92.13,62.82,65,0,4.65
173,Bereda,ES,2020-11-08 23:54:22,43.27,-7.54,54.0,93,25,8.99
